,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
41837,43,services,married,primary,no,2557,yes,no,telephone,15,oct,166,3,183,5,success,yes
41846,61,technician,married,primary,no,6384,no,no,cellular,16,oct,55,2,-1,0,unknown,no
41850,27,management,married,tertiary,no,893,no,no,cellular,16,oct,154,2,-1,0,unknown,yes
41851,50,admin.,single,secondary,no,3702,no,no,cellular,16,oct,109,5,-1,0,unknown,no
41852,72,retired,married,secondary,no,2850,no,no,cellular,16,oct,131,2,241,1,success,no
41853,31,admin.,single,secondary,no,523,no,yes,cellular,16,oct,141,1,126,4,failure,no
41859,73,retired,married,unknown,no,519,no,no,telephone,16,oct,434,1,57,1,failure,yes
41861,40,technician,married,secondary,no,2266,no,no,cellular,16,oct,447,1,147,5,failure,yes
41863,44,technician,single,tertiary,no,643,no,no,cellular,16,oct,324,1,143,3,failure,yes
41874,62,blue-collar,married,primary,no,1381,no,no,cellular,19,oct,1020,1,-1,0,unknown,no
41879,37,management,single,tertiary,no,254,no,no,cellular,19,oct,120,1,-1,0,unknown,no
41880,26,technician,single,secondary,no,334,no,no,cellular,19,oct,217,1,-1,0,unknown,no
41881,80,management,married,primary,no,6483,no,no,telephone,19,oct,123,1,-1,0,unknown,no
41882,30,admin.,single,secondary,no,648,no,no,cellular,19,oct,54,1,-1,0,unknown,no
41885,47,services,single,unknown,no,1784,no,no,cellular,19,oct,385,2,-1,0,unknown,yes
41890,30,admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no
41897,61,admin.,married,secondary,no,1541,no,no,cellular,20,oct,59,1,104,3,failure,no
41902,37,management,single,tertiary,no,0,no,no,cellular,20,oct,107,1,258,3,other,no
41904,77,retired,married,unknown,no,1807,no,no,telephone,20,oct,373,1,-1,0,unknown,yes
41908,54,technician,married,secondary,no,3994,no,yes,cellular,20,oct,595,2,187,2,success,yes
41909,32,blue-collar,married,primary,no,400,no,no,cellular,20,oct,76,2,-1,0,unknown,no
41914,53,housemaid,married,primary,no,2581,no,no,cellular,21,oct,828,1,189,1,failure,yes
41915,38,blue-collar,divorced,secondary,no,0,yes,no,cellular,21,oct,576,1,183,4,success,yes
41917,53,management,divorced,tertiary,no,3370,no,no,cellular,21,oct,180,1,334,3,other,no
41918,27,student,single,tertiary,no,1134,no,no,cellular,21,oct,825,1,183,4,success,yes
41919,74,retired,married,tertiary,no,4912,no,no,telephone,21,oct,129,3,-1,0,unknown,no
41925,57,management,married,tertiary,no,375,no,no,cellular,21,oct,135,1,-1,0,unknown,yes
41926,33,self-employed,single,tertiary,no,658,yes,no,cellular,21,oct,307,1,208,1,success,yes
41930,35,technician,single,secondary,no,70,yes,no,cellular,21,oct,197,2,188,2,other,no
41935,92,retired,married,unknown,no,775,no,no,cellular,22,oct,313,3,-1,0,unknown,yes
41936,35,technician,married,secondary,no,2779,no,no,cellular,22,oct,118,2,-1,0,unknown,yes
41939,42,admin.,divorced,secondary,no,527,no,yes,cellular,22,oct,181,1,185,1,success,yes
41947,78,retired,married,unknown,no,4807,no,no,telephone,22,oct,1002,4,-1,0,unknown,yes
41951,55,services,married,secondary,no,0,no,no,cellular,22,oct,102,1,106,1,failure,no
41957,43,blue-collar,married,secondary,no,14646,no,no,cellular,23,oct,210,1,-1,0,unknown,yes
41964,77,management,married,unknown,no,1780,yes,no,cellular,23,oct,221,2,183,3,success,yes
41969,39,management,single,tertiary,no,416,no,no,cellular,23,oct,56,4,-1,0,unknown,no
41977,52,admin.,married,secondary,no,722,no,no,cellular,26,oct,99,2,185,3,failure,no
41978,46,admin.,married,secondary,no,0,yes,no,cellular,26,oct,87,1,185,2,other,no
41983,81,retired,married,primary,no,243,no,no,cellular,27,oct,131,1,-1,0,unknown,yes
41991,38,blue-collar,single,secondary,no,0,no,no,cellular,27,oct,297,1,75,3,failure,yes
41995,53,unknown,married,primary,no,732,no,no,cellular,27,oct,759,2,-1,0,unknown,yes
42001,59,housemaid,married,secondary,no,0,no,no,telephone,27,oct,376,1,81,3,failure,no
42005,71,technician,married,tertiary,no,383,no,no,cellular,27,oct,327,2,183,3,success,no
42006,76,retired,married,unknown,no,992,no,no,cellular,27,oct,139,2,-1,0,unknown,no
42010,65,retired,married,secondary,no,1624,no,no,cellular,27,oct,189,2,-1,0,unknown,no
42021,50,management,married,tertiary,no,3463,no,yes,cellular,28,oct,96,1,-1,0,unknown,yes
42022,65,admin.,married,secondary,no,11240,yes,no,telephone,28,oct,149,1,-1,0,unknown,no
42031,64,retired,married,secondary,no,4787,no,no,cellular,28,oct,501,1,-1,0,unknown,yes
42032,38,technician,single,tertiary,no,1727,no,no,telephone,28,oct,182,2,-1,0,unknown,no
42048,61,blue-collar,married,secondary,no,272,no,no,cellular,29,oct,318,1,269,1,failure,no
42050,30,management,single,tertiary,no,697,no,no,cellular,29,oct,215,3,80,5,success,yes
42057,28,student,single,tertiary,no,2306,no,no,cellular,29,oct,140,2,-1,0,unknown,no
42069,21,student,single,primary,no,8278,no,no,cellular,29,oct,445,1,-1,0,unknown,yes
42073,37,management,married,tertiary,no,7974,yes,no,cellular,30,oct,176,5,158,7,other,no
42077,30,technician,single,tertiary,no,53,no,no,cellular,30,oct,155,1,184,1,success,no
42086,70,retired,married,secondary,no,2384,no,no,cellular,30,oct,196,2,-1,0,unknown,yes
42089,46,housemaid,married,primary,no,3512,no,no,cellular,30,oct,175,1,197,1,failure,yes
42091,51,unknown,married,unknown,no,1585,no,no,telephone,30,oct,152,4,-1,0,unknown,no
42095,33,management,married,tertiary,no,3301,yes,no,cellular,2,nov,131,2,171,2,failure,no
42106,32,management,single,tertiary,no,9317,no,no,cellular,2,nov,92,3,-1,0,unknown,no
42129,37,management,married,tertiary,no,238,no,no,cellular,3,nov,149,1,-1,0,unknown,yes
42133,67,retired,divorced,secondary,no,704,no,no,cellular,3,nov,537,1,-1,0,unknown,yes
42135,64,retired,married,primary,no,5871,no,no,cellular,3,nov,195,1,-1,0,unknown,no
42140,40,blue-collar,married,secondary,no,1508,no,no,cellular,3,nov,177,2,85,3,failure,no
42142,62,housemaid,married,secondary,no,2,no,no,cellular,3,nov,322,1,-1,0,unknown,yes
42145,76,retired,married,primary,no,1492,no,no,telephone,3,nov,383,1,-1,0,unknown,yes
42158,31,management,single,tertiary,no,220,yes,no,cellular,4,nov,257,2,184,2,failure,no
42159,49,technician,married,secondary,no,402,no,no,cellular,5,nov,76,2,-1,0,unknown,no
42161,78,retired,divorced,primary,no,55,no,no,telephone,5,nov,143,3,90,1,other,no
42165,78,retired,married,tertiary,no,226,no,no,telephone,6,nov,136,1,-1,0,unknown,no
42166,31,technician,married,secondary,no,2440,no,no,cellular,6,nov,312,1,-1,0,unknown,no
42170,33,technician,married,tertiary,no,1699,no,no,cellular,6,nov,178,2,94,1,success,yes
42175,32,management,single,tertiary,no,935,no,no,cellular,9,nov,165,1,91,7,success,yes
42176,60,self-employed,married,tertiary,no,10861,no,no,cellular,9,nov,98,1,91,2,failure,yes
42181,24,student,single,secondary,no,125,no,no,cellular,9,nov,263,1,90,1,failure,yes
42193,61,retired,married,tertiary,no,2557,yes,no,cellular,10,nov,89,1,91,4,success,yes
42206,70,retired,married,secondary,no,1164,no,no,telephone,10,nov,208,2,-1,0,unknown,no
42207,52,technician,married,tertiary,no,1785,no,no,cellular,10,nov,133,3,89,1,failure,no
42210,63,retired,married,secondary,no,3579,no,no,telephone,11,nov,93,2,-1,0,unknown,no
42212,35,management,single,tertiary,no,612,no,no,cellular,11,nov,158,1,195,1,failure,no
42217,40,management,married,tertiary,no,9366,no,no,cellular,11,nov,69,3,-1,0,unknown,yes
42220,33,services,married,secondary,no,1076,no,no,cellular,11,nov,131,1,96,5,failure,yes
42241,30,unemployed,single,secondary,no,2424,no,no,cellular,12,nov,110,1,279,1,failure,yes
42242,51,management,married,tertiary,no,346,no,no,cellular,12,nov,134,2,192,3,failure,yes
42244,54,unknown,married,secondary,no,2206,no,no,cellular,12,nov,104,1,99,2,other,yes
42247,48,blue-collar,married,secondary,no,1230,yes,no,cellular,12,nov,169,1,196,2,success,yes
42256,39,student,single,unknown,no,64,no,no,cellular,12,nov,366,2,98,1,failure,no
42271,39,admin.,married,secondary,no,260,yes,no,cellular,13,nov,226,1,94,4,success,yes
42274,37,admin.,single,secondary,no,115,no,no,cellular,13,nov,122,4,101,5,failure,no
42287,33,management,married,tertiary,no,271,yes,no,cellular,13,nov,182,2,91,2,success,yes
42289,33,management,single,tertiary,no,2465,no,no,cellular,16,nov,139,2,95,1,success,no
42304,57,admin.,married,secondary,no,367,no,no,telephone,16,nov,107,2,-1,0,unknown,no
42308,42,self-employed,married,tertiary,no,10072,no,no,cellular,16,nov,137,3,208,1,failure,no
42313,37,technician,single,tertiary,no,197,no,no,cellular,16,nov,175,1,200,1,success,yes
42319,56,management,married,primary,no,870,no,no,cellular,16,nov,257,1,-1,0,unknown,yes
42325,31,student,single,unknown,no,376,no,no,cellular,16,nov,202,1,96,2,other,no
42327,40,admin.,married,tertiary,no,764,yes,no,unknown,17,nov,85,1,-1,0,unknown,yes
42330,52,management,married,tertiary,no,583,no,no,cellular,17,nov,209,1,91,2,failure,yes
42339,29,unemployed,single,primary,no,1374,no,no,cellular,17,nov,309,3,208,4,success,yes
42340,42,management,married,tertiary,no,2187,yes,no,cellular,17,nov,525,3,-1,0,unknown,yes
42341,53,technician,married,secondary,no,163,yes,yes,cellular,24,nov,108,1,-1,0,unknown,no
42342,52,housemaid,married,unknown,no,2337,yes,no,cellular,24,nov,190,3,91,11,failure,no
42344,61,admin.,divorced,tertiary,no,89,no,no,cellular,24,nov,141,2,95,2,other,no
42352,30,management,single,tertiary,no,265,no,no,cellular,25,nov,295,1,93,3,success,no
42353,23,student,single,secondary,no,922,no,no,cellular,25,nov,242,1,85,8,failure,no
42357,33,management,married,tertiary,no,334,no,no,cellular,25,nov,87,1,-1,0,unknown,no
42361,31,admin.,single,secondary,no,4198,no,no,cellular,25,nov,234,1,-1,0,unknown,yes
42370,61,retired,divorced,primary,no,3624,no,no,cellular,25,nov,342,1,-1,0,unknown,yes
42377,83,retired,divorced,primary,no,20,no,no,cellular,27,nov,65,3,-1,0,unknown,no
42383,51,technician,married,tertiary,no,2506,no,no,cellular,30,nov,210,3,-1,0,unknown,no
42390,28,admin.,single,secondary,no,520,yes,no,cellular,30,nov,113,1,168,1,failure,no
42391,28,admin.,married,secondary,no,330,no,no,cellular,2,dec,357,1,188,3,other,yes
42399,68,retired,married,tertiary,no,2820,no,no,cellular,3,dec,154,1,97,2,failure,yes
42403,39,services,married,secondary,no,323,no,no,cellular,3,dec,1804,3,182,3,other,no
42405,61,housemaid,married,primary,no,175,no,no,telephone,3,dec,237,1,-1,0,unknown,no
42410,29,management,single,tertiary,no,1445,no,no,cellular,4,dec,271,2,-1,0,unknown,yes
42412,49,management,married,tertiary,no,5887,no,no,cellular,4,dec,439,3,185,5,success,yes
42414,43,management,single,tertiary,no,11891,no,no,cellular,4,dec,821,5,242,1,success,yes
42416,33,technician,married,secondary,no,711,no,no,cellular,4,dec,78,2,-1,0,unknown,no
42417,69,retired,divorced,secondary,no,344,no,no,cellular,4,dec,55,2,-1,0,unknown,no
42421,58,admin.,single,secondary,no,2223,no,no,cellular,4,dec,1139,2,114,1,success,no
42440,51,admin.,married,secondary,no,241,no,no,cellular,7,dec,308,2,-1,0,unknown,yes
42451,37,admin.,married,secondary,no,0,yes,no,cellular,9,dec,179,1,190,1,success,yes
42454,53,blue-collar,single,secondary,no,1442,no,no,telephone,9,dec,137,8,188,2,other,no
42458,49,technician,married,secondary,no,307,no,no,cellular,9,dec,854,1,-1,0,unknown,yes
42463,79,retired,married,secondary,no,8304,no,no,cellular,9,dec,456,2,275,9,success,yes
42468,36,services,married,secondary,no,4721,no,no,cellular,9,dec,149,3,-1,0,unknown,yes
42469,49,management,married,tertiary,no,395,no,no,cellular,10,dec,336,5,-1,0,unknown,yes
42470,69,retired,married,secondary,no,3588,yes,no,cellular,10,dec,429,1,-1,0,unknown,yes
42479,64,retired,married,primary,no,43,no,no,cellular,10,dec,232,1,-1,0,unknown,yes
42482,72,retired,married,primary,no,3856,no,no,cellular,10,dec,582,4,115,1,other,yes
42484,79,retired,married,primary,no,3025,no,no,cellular,11,dec,166,3,126,3,other,yes
42486,30,technician,married,secondary,no,2326,no,no,cellular,14,dec,420,1,175,2,failure,yes
42490,57,technician,married,primary,no,592,no,yes,telephone,14,dec,88,6,193,5,other,no
42493,64,housemaid,married,primary,no,67,no,no,telephone,14,dec,86,2,111,1,failure,no
42495,87,retired,married,secondary,no,433,no,no,telephone,15,dec,150,1,-1,0,unknown,no
42496,53,admin.,married,secondary,no,1796,no,no,telephone,15,dec,476,1,193,1,failure,yes
42500,29,management,single,tertiary,no,572,no,no,cellular,16,dec,314,1,195,1,success,yes
42511,67,retired,married,primary,no,258,no,no,cellular,17,dec,221,1,-1,0,unknown,no
42512,28,blue-collar,single,secondary,no,1705,no,no,cellular,17,dec,412,2,-1,0,unknown,yes
42522,50,management,married,tertiary,no,5108,yes,no,cellular,18,dec,406,1,182,2,failure,yes
42526,57,retired,married,secondary,no,1841,no,no,cellular,18,dec,127,2,196,1,success,no
42528,60,technician,married,secondary,no,294,no,no,telephone,18,dec,104,5,198,4,success,no
42539,64,self-employed,married,tertiary,no,661,no,no,cellular,21,dec,367,2,294,2,failure,yes
42553,59,management,married,tertiary,no,2764,no,no,cellular,24,dec,237,1,206,2,failure,no
42555,43,services,married,tertiary,no,4216,no,no,cellular,24,dec,150,2,195,2,success,yes
42557,32,management,single,tertiary,no,623,no,no,telephone,24,dec,273,1,203,1,failure,no
42559,84,retired,married,secondary,no,81204,no,no,telephone,28,dec,679,1,313,2,other,yes
42561,33,admin.,single,tertiary,no,102,no,no,cellular,28,dec,83,4,-1,0,unknown,no
42578,32,services,married,secondary,no,914,no,no,cellular,29,dec,434,1,197,1,success,no
42586,61,management,married,secondary,no,544,no,no,cellular,29,dec,63,3,200,9,success,yes
42587,30,management,single,tertiary,no,2907,yes,no,cellular,30,dec,146,2,218,1,failure,no
42588,46,management,divorced,tertiary,no,461,no,no,cellular,30,dec,369,2,-1,0,unknown,yes
42600,27,services,single,secondary,no,302,no,no,cellular,8,jan,151,1,189,1,success,no
42604,57,retired,married,secondary,no,1044,no,no,telephone,11,jan,585,1,192,2,success,yes
42605,55,admin.,married,secondary,no,1633,no,no,cellular,11,jan,210,1,192,2,success,yes
42614,35,management,married,tertiary,no,323,no,no,cellular,11,jan,261,2,-1,0,unknown,yes
42615,65,management,married,tertiary,no,1097,no,no,cellular,12,jan,131,1,196,1,other,no
42634,49,management,married,tertiary,no,1093,yes,yes,cellular,12,jan,243,2,91,2,success,yes
42638,22,student,single,secondary,no,254,no,no,cellular,13,jan,143,2,-1,0,unknown,yes
42639,32,management,single,tertiary,no,1962,no,no,cellular,13,jan,130,1,-1,0,unknown,no
42640,28,self-employed,single,tertiary,no,1579,no,no,cellular,13,jan,163,1,91,3,failure,yes
42643,62,retired,married,tertiary,no,4692,yes,no,cellular,13,jan,113,1,90,1,failure,no
42648,24,student,single,secondary,no,3176,no,no,cellular,13,jan,108,2,-1,0,unknown,yes
42650,54,management,divorced,tertiary,no,496,no,no,cellular,13,jan,452,3,-1,0,unknown,yes
42656,35,technician,single,tertiary,no,0,no,no,cellular,14,jan,187,7,-1,0,unknown,yes
42660,51,admin.,married,secondary,no,423,yes,yes,cellular,14,jan,236,1,90,1,failure,no
42679,39,management,married,tertiary,no,2939,no,no,cellular,15,jan,348,2,-1,0,unknown,yes
42685,55,management,married,tertiary,no,7803,no,no,cellular,15,jan,441,1,-1,0,unknown,yes
42692,28,management,married,tertiary,no,893,no,no,cellular,18,jan,204,2,94,2,success,no
42695,58,unknown,married,tertiary,no,327,no,no,telephone,18,jan,124,4,-1,0,unknown,no
42701,37,management,married,tertiary,no,539,no,no,cellular,18,jan,540,2,115,3,failure,no
42702,21,student,single,primary,no,423,no,no,telephone,18,jan,287,5,285,5,success,yes
42703,63,housemaid,married,tertiary,no,1528,no,no,cellular,18,jan,309,2,95,3,success,no
42716,32,management,single,tertiary,no,307,no,no,cellular,25,jan,96,1,201,3,success,no
42720,27,student,single,secondary,no,2015,no,no,cellular,25,jan,87,1,245,1,other,no
42726,27,admin.,single,tertiary,no,689,no,no,cellular,26,jan,98,1,307,1,failure,no
42731,77,retired,married,secondary,no,4112,no,no,telephone,26,jan,1616,1,95,2,success,yes
42736,45,admin.,married,secondary,no,2556,no,no,telephone,26,jan,196,2,-1,0,unknown,no
42740,42,unknown,single,unknown,no,942,no,no,cellular,27,jan,245,1,92,2,success,yes
42741,28,technician,single,unknown,no,0,yes,no,cellular,27,jan,183,1,92,2,success,no
42745,52,services,married,secondary,no,992,yes,no,cellular,27,jan,342,1,92,2,success,yes
42750,30,blue-collar,married,secondary,no,319,no,no,cellular,27,jan,210,2,-1,0,unknown,no
42755,54,admin.,married,secondary,no,0,no,no,cellular,27,jan,565,1,-1,0,unknown,yes
42758,26,admin.,single,secondary,no,614,no,no,cellular,27,jan,103,1,-1,0,unknown,no
42763,66,retired,married,tertiary,no,908,no,no,cellular,28,jan,156,2,-1,0,unknown,no
42778,35,technician,married,secondary,no,481,yes,yes,telephone,28,jan,141,4,164,1,other,no
42781,68,retired,single,primary,no,363,no,no,cellular,28,jan,193,1,-1,0,unknown,no
42782,31,housemaid,single,tertiary,no,2017,yes,no,cellular,28,jan,167,1,286,5,failure,no
42787,27,unknown,single,tertiary,no,6421,no,no,telephone,28,jan,147,4,-1,0,unknown,no
42789,63,technician,married,secondary,no,896,yes,no,cellular,28,jan,115,3,91,4,other,no
42790,34,admin.,married,tertiary,no,0,no,no,cellular,28,jan,155,2,-1,0,unknown,yes
42791,50,management,married,tertiary,no,2366,no,no,cellular,28,jan,816,2,149,1,other,yes
42810,32,management,divorced,tertiary,no,530,yes,no,cellular,29,jan,131,1,127,3,failure,no
42820,29,technician,married,secondary,no,1599,yes,no,cellular,1,feb,200,2,96,3,failure,no
42827,36,admin.,single,tertiary,no,980,no,no,cellular,1,feb,343,2,95,2,failure,no
42829,60,management,married,tertiary,no,3401,no,no,cellular,2,feb,121,1,95,2,success,no
42839,31,admin.,single,secondary,no,523,no,yes,cellular,2,feb,323,1,109,5,failure,no
42842,76,retired,married,secondary,no,852,no,no,telephone,3,feb,283,2,-1,0,unknown,no
42847,33,technician,married,secondary,no,303,yes,no,cellular,3,feb,355,1,301,5,success,yes
42851,37,admin.,single,secondary,no,728,no,no,cellular,3,feb,129,1,174,2,other,yes
42854,52,blue-collar,married,secondary,no,955,no,yes,cellular,3,feb,153,1,48,3,success,yes
42858,35,admin.,married,tertiary,no,221,yes,yes,cellular,3,feb,142,2,-1,0,unknown,no
42866,36,self-employed,married,tertiary,no,506,no,no,cellular,3,feb,124,1,92,3,success,no
42867,38,admin.,single,secondary,no,262,no,no,cellular,3,feb,315,2,180,6,failure,yes
42875,76,retired,married,primary,no,2223,no,no,telephone,4,feb,429,1,-1,0,unknown,yes
42887,30,student,single,secondary,no,4,no,no,cellular,4,feb,443,2,-1,0,unknown,no
42888,35,technician,single,tertiary,no,144,yes,yes,cellular,4,feb,202,4,113,20,failure,no
42891,21,student,single,secondary,no,210,no,no,telephone,4,feb,123,2,174,1,failure,no
42894,38,technician,married,secondary,no,318,no,no,cellular,4,feb,383,1,181,5,failure,yes
42896,48,blue-collar,married,secondary,no,1730,yes,no,cellular,4,feb,489,1,178,2,failure,yes
42907,76,retired,married,secondary,no,2302,no,no,telephone,5,feb,110,1,87,2,failure,no
42909,30,student,single,unknown,no,145,no,no,cellular,5,feb,96,3,175,1,failure,no
42910,36,admin.,single,tertiary,no,994,no,no,cellular,5,feb,195,1,176,5,failure,yes
42912,42,admin.,married,tertiary,no,1536,no,no,cellular,5,feb,132,1,182,3,success,no
42915,71,retired,married,tertiary,no,4388,no,no,cellular,5,feb,346,1,183,3,other,no
42920,73,retired,married,tertiary,no,443,no,no,cellular,5,feb,133,2,-1,0,unknown,no
42921,34,blue-collar,married,secondary,no,1221,yes,no,cellular,5,feb,210,2,274,6,failure,no
42922,29,blue-collar,married,secondary,no,3310,no,no,cellular,5,feb,276,2,-1,0,unknown,no
42930,42,admin.,divorced,secondary,no,490,yes,no,cellular,8,feb,203,2,188,1,failure,no
42939,24,technician,married,secondary,no,556,yes,no,cellular,8,feb,278,1,94,4,success,yes
42942,45,admin.,married,secondary,no,1206,no,no,telephone,8,feb,309,1,446,3,failure,yes
42951,52,management,married,tertiary,no,3634,no,no,cellular,8,feb,341,8,-1,0,unknown,yes
42953,60,technician,married,secondary,no,824,yes,no,cellular,9,feb,127,1,558,7,other,yes
42957,25,student,single,secondary,no,125,no,no,cellular,9,feb,215,1,92,2,success,yes
42958,58,technician,married,secondary,no,7554,no,no,telephone,9,feb,167,1,469,1,success,no
42964,53,admin.,married,secondary,no,10541,no,no,cellular,9,feb,164,2,92,1,success,yes
42967,33,management,single,tertiary,no,935,no,no,cellular,9,feb,385,2,92,8,success,yes
42970,47,admin.,married,secondary,no,0,no,yes,cellular,10,feb,86,2,93,2,other,no
42971,52,unemployed,married,secondary,no,94,no,no,cellular,10,feb,153,1,92,13,success,yes
42997,75,blue-collar,married,secondary,no,6053,no,no,cellular,11,feb,865,2,190,1,failure,no
43002,35,self-employed,single,tertiary,no,353,no,no,cellular,11,feb,352,1,183,1,success,yes
43004,44,technician,single,secondary,no,451,no,no,cellular,11,feb,203,1,183,2,success,no
43008,57,retired,married,primary,no,9367,no,no,cellular,11,feb,981,1,90,6,success,yes
43011,39,blue-collar,married,secondary,no,1382,yes,no,cellular,11,feb,397,2,-1,0,unknown,yes
43015,27,admin.,single,secondary,no,255,no,no,cellular,12,feb,123,1,182,4,success,no
43016,29,technician,single,secondary,no,113,no,no,cellular,12,feb,328,2,183,4,success,yes
43024,32,technician,married,secondary,no,3271,no,no,cellular,12,feb,375,1,374,1,other,yes
43031,29,management,single,tertiary,no,1026,no,no,cellular,12,feb,138,2,92,2,success,yes
43040,37,technician,single,tertiary,no,197,no,no,cellular,15,feb,531,1,91,2,success,yes
43051,28,student,single,tertiary,no,1562,no,no,cellular,15,feb,659,4,-1,0,unknown,yes
43052,65,retired,married,secondary,no,3409,no,no,cellular,15,feb,92,2,-1,0,unknown,no
43053,77,retired,married,primary,no,2590,no,no,telephone,15,feb,112,5,94,15,success,no
43055,27,blue-collar,single,secondary,no,535,no,no,cellular,15,feb,171,1,91,2,success,yes
43060,52,technician,married,secondary,no,195,yes,no,cellular,18,feb,220,1,63,5,failure,yes
43062,59,management,married,tertiary,no,2764,no,no,cellular,18,feb,459,1,56,3,failure,no
43069,25,self-employed,single,unknown,no,1179,no,no,cellular,18,feb,150,2,185,3,failure,no
43072,26,admin.,single,tertiary,no,2532,yes,yes,cellular,18,feb,269,1,-1,0,unknown,yes
43075,59,self-employed,married,tertiary,no,2013,no,no,cellular,19,feb,222,4,94,2,success,yes
43082,27,blue-collar,single,primary,no,377,no,no,cellular,19,feb,645,2,-1,0,unknown,yes
43083,60,retired,divorced,secondary,no,1,no,no,cellular,19,feb,302,1,184,1,success,yes
43086,27,student,single,tertiary,no,5741,no,no,cellular,22,feb,368,1,185,2,failure,no
43091,39,admin.,divorced,tertiary,no,1176,no,no,cellular,22,feb,327,1,-1,0,unknown,no
43093,55,retired,divorced,secondary,no,2204,no,no,cellular,22,feb,261,1,264,1,failure,yes
43096,37,blue-collar,married,secondary,no,4321,no,no,cellular,22,feb,276,3,167,3,failure,no
43102,30,technician,single,secondary,no,341,no,no,unknown,23,feb,20,1,-1,0,unknown,no
43113,33,management,single,tertiary,no,101,yes,no,cellular,23,feb,393,2,130,1,other,no
43118,79,retired,divorced,primary,no,1910,no,no,telephone,24,feb,98,2,-1,0,unknown,no
43120,43,self-employed,married,tertiary,no,10072,no,no,cellular,24,feb,145,1,100,4,failure,no
43121,54,technician,married,secondary,no,65,no,no,cellular,24,feb,87,1,91,3,failure,no
43122,40,technician,married,secondary,no,826,no,no,unknown,24,feb,174,1,267,2,other,no
43123,20,student,single,secondary,no,215,no,no,cellular,24,feb,175,1,92,6,success,yes
43125,38,blue-collar,single,secondary,no,711,yes,no,cellular,24,feb,254,5,140,1,other,no
43129,70,retired,married,primary,no,2346,no,no,cellular,24,feb,694,1,184,5,failure,yes
43132,52,admin.,single,unknown,no,2227,no,no,cellular,24,feb,242,2,-1,0,unknown,yes
43139,64,retired,married,primary,no,1977,no,no,cellular,24,feb,160,2,-1,0,unknown,no
43141,33,services,single,secondary,no,1852,no,no,telephone,25,feb,371,1,204,3,other,no
43142,25,services,single,secondary,no,94,no,no,unknown,25,feb,32,1,-1,0,unknown,no
43144,63,retired,married,unknown,no,1849,no,no,cellular,25,feb,125,6,177,2,failure,no
43149,59,technician,married,secondary,no,7766,yes,no,cellular,25,feb,1422,1,461,1,failure,yes
43151,30,student,single,secondary,no,48,no,no,cellular,25,feb,217,1,191,2,success,yes
43163,34,self-employed,married,secondary,no,173,no,no,unknown,26,feb,36,1,-1,0,unknown,no
43167,27,blue-collar,single,secondary,no,23,no,no,cellular,26,feb,590,2,-1,0,unknown,no
43173,38,technician,single,secondary,no,0,no,no,unknown,1,mar,10,1,-1,0,unknown,no
43190,60,retired,divorced,tertiary,no,2,no,no,cellular,2,mar,228,4,390,2,other,yes
43194,25,student,single,secondary,no,154,no,no,cellular,3,mar,141,1,180,2,failure,yes
43197,29,technician,single,tertiary,no,2489,yes,no,cellular,3,mar,355,1,86,5,failure,yes
43198,68,retired,married,secondary,no,1146,no,no,cellular,3,mar,153,2,110,3,success,yes
43199,38,admin.,married,secondary,no,1559,no,no,cellular,3,mar,136,2,280,1,failure,yes
43212,26,admin.,single,tertiary,no,760,yes,no,cellular,4,mar,456,2,281,5,success,yes
43216,68,retired,married,tertiary,no,2820,no,no,cellular,5,mar,158,1,92,3,success,no
43218,33,management,married,tertiary,no,1390,no,no,cellular,5,mar,77,1,179,5,failure,no
43227,39,services,married,secondary,no,53,no,no,unknown,5,mar,257,1,394,1,failure,yes
43229,40,unemployed,single,secondary,no,334,no,no,cellular,5,mar,219,1,91,6,other,yes
43240,45,student,single,unknown,no,1527,no,no,cellular,8,mar,132,1,-1,0,unknown,yes
43242,38,student,single,unknown,no,444,no,no,cellular,8,mar,157,3,206,6,success,no
43243,51,admin.,married,tertiary,no,0,yes,yes,cellular,8,mar,124,2,-1,0,unknown,yes
43246,33,management,single,tertiary,no,224,no,no,cellular,8,mar,241,2,-1,0,unknown,yes
43247,36,blue-collar,married,unknown,no,444,no,no,cellular,8,mar,139,6,279,2,failure,no
43251,73,retired,married,primary,no,508,no,no,cellular,9,mar,176,1,-1,0,unknown,yes
43260,29,management,single,tertiary,no,2344,yes,no,cellular,9,mar,265,2,-1,0,unknown,no
43270,39,management,married,tertiary,no,494,no,no,cellular,10,mar,106,2,478,3,failure,yes
43271,58,management,married,tertiary,no,1016,no,no,telephone,11,mar,78,2,91,1,failure,no
43272,37,management,married,tertiary,no,0,no,no,cellular,11,mar,129,4,107,2,failure,no
43277,75,retired,married,primary,no,1765,no,no,telephone,11,mar,282,2,181,2,success,no
43279,54,management,divorced,tertiary,no,7010,no,no,cellular,11,mar,275,2,-1,0,unknown,no
43283,46,blue-collar,married,secondary,no,640,yes,no,cellular,12,mar,215,1,182,4,success,yes
43286,36,management,married,tertiary,no,495,no,no,cellular,12,mar,213,3,182,6,success,yes
43290,27,student,single,secondary,no,3754,no,no,cellular,15,mar,106,3,98,1,other,no
43291,77,retired,married,primary,no,29340,no,no,cellular,15,mar,257,1,91,2,other,yes
